problem_id,answer
11919,12.0
8513,0.0
7887,4.0
5272,5.3333
8295,13.0
3219,15.0
7235,0.0
3688,0.0
6116,1824.0
4720,23.0
12122,40.8
4311,4.0
8283,7.0
8347,74.0
4170,220.0
4,21.0
8307,9.0
7108,544.0
7775,800.0
7680,216.0
8780,0.0
8707,0.0225
7863,0.8
12036,52.0
4569,3.0059
8134,21.0
160,9300.0
2869,370.8
3309,10.0
6941,0.462
4880,6.0
5126,0.0
7059,0.0
10649,40.0
10357,0.0
2445,0.1
5755,27.9
4849,0.0
1216,0.46
7787,77.0
2405,3.0
3041,6.0
10411,220220.0
7081,328.0
6018,64.0
8948,0.8
4658,4.0
11679,46.7482
5390,0.992
5319,0.0
6907,2.5
9695,0.0
12092,52.0
8458,323.2
7136,0.0
11922,8.4
6101,6060.0
245,48.0
7880,10.0
12166,14.0
8116,8.0
13554,170.0
4249,66.0
12184,2178.0
5232,-2.0
9499,0.0
4908,24.0
7452,0.0
13512,50.0
9253,24.0
12338,0.0
4478,12.0
5170,-5.0
3122,515.0
10457,15.0
2370,-1.7
8670,0.25
9446,0.0
8083,1.0
5321,0.0
9388,0.0
8443,8.0
8138,0.0
12084,38.0
3305,11.0
4810,23.0
25,0.361
217,10.05
1421,14343.0
6914,1.0
4724,123.0
10460,26.0
1324,0.4
5268,3.0
5164,-8.0
3519,345.0
7934,12.0
9390,0.0
7137,22.0
5914,3.0
